p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.15207011696404e-205	22.7523099103449	0.538	0.16	9.45621035089211e-202	0	Col5a3
3.98852492053675e-205	9.00359871783849	0.418	0.168	1.19655747616103e-201	0	Pcsk2
1.50140805067535e-203	0.539876404719266	0.258	0.116	4.50422415202604e-200	0	Tox
1.67310468191677e-197	4.29540554834128	0.27	0.169	5.01931404575032e-194	0	Sphkap
2.17667614046969e-197	0.905335696134124	0.308	0.121	6.53002842140906e-194	0	Gria3
1.20008415436923e-191	8.52353247631905	0.252	0.144	3.60025246310768e-188	0	Dis3l
2.39141623597827e-191	4.78070885501397	0.309	0.112	7.1742487079348e-188	0	Ifi205
1.19525425369304e-189	2.03975969667571	0.293	0.116	3.58576276107911e-186	0	Hs6st3
4.95251485590948e-188	17.0474591033872	0.332	0.158	1.48575445677284e-184	0	Kank1
9.30888624061811e-186	4.55537852810661	0.264	0.095	2.79266587218543e-182	0	Srpx
3.70466136189255e-184	0.700789499213364	0.375	0.118	1.11139840856776e-180	0	Nrk
3.60995004002436e-178	3.76860688123492	0.569	0.196	1.08298501200731e-174	0	Egfr
3.77767013906533e-177	1.09802996643382	0.294	0.101	1.1333010417196e-173	0	Ppp2r2b
2.34229075114442e-176	1.34112397897652	0.546	0.161	7.02687225343327e-173	0	Lama4
2.55952048400339e-176	0.83907841381864	0.303	0.082	7.67856145201017e-173	0	Myoc
4.78259683495191e-169	2.6629592465402	0.585	0.23	1.43477905048557e-165	0	Dlc1
5.37646913612304e-169	6.088405645172	0.303	0.151	1.61294074083691e-165	0	Pde1a
9.91084867759811e-167	7.74340700374491	0.277	0.138	2.97325460327943e-163	0	Slc24a3
2.95331952942772e-166	0.641184709250147	0.302	0.172	8.85995858828316e-163	0	L3mbtl4
3.61532570998845e-164	4.09512008159827	0.518	0.143	1.08459771299654e-160	0	Col14a1
2.22595934972996e-161	9.7087164902978	0.317	0.173	6.67787804918988e-158	0	Knl1
2.89875996822916e-161	16.4170866940132	0.556	0.228	8.69627990468748e-158	0	Gab2
1.35003568990667e-160	3.93899893005201	0.34	0.044	4.05010706972002e-157	0	Plcz1
6.33718392098636e-157	21.1266561934516	0.425	0.127	1.90115517629591e-153	0	Adam33
2.95042296797916e-156	8.39868178025637	0.566	0.311	8.85126890393747e-153	0	Rbms1
6.08514075747094e-156	31.2919414008858	0.469	0.252	1.82554222724128e-152	0	Sema3c
1.13520012818139e-155	2.96881096017702	0.263	0.158	3.40560038454418e-152	0	Shisa6
3.11898982999292e-152	14.8340687115972	0.545	0.12	9.35696948997877e-149	0	Nova1
5.57094062841064e-149	4.91076621696339	0.262	0.158	1.67128218852319e-145	0	Gm12153
6.5135176517171e-149	2.80565061655356	0.278	0.12	1.95405529551513e-145	0	Zfp804b
4.23488075188283e-148	5.83895237445151	0.429	0.118	1.27046422556485e-144	0	Ptch2
8.07887920787866e-145	3.38203664655307	0.496	0.148	2.4236637623636e-141	0	Abca5
1.4933715443958e-139	2.95087300734903	0.405	0.13	4.48011463318739e-136	0	Frmpd4
9.52356456980542e-138	23.6321324315202	0.514	0.279	2.85706937094163e-134	0	Igf1r
7.96848226602345e-137	0.826106705418595	0.512	0.368	2.39054467980704e-133	0	Rbm39
1.54151101973097e-136	3.6872922461726	0.289	0.131	4.62453305919291e-133	0	Acvr1c
1.96764969443477e-132	5.3048243662782	0.291	0.13	5.90294908330431e-129	0	Trhde
3.8478559920707e-130	3.58596764628557	0.551	0.139	1.15435679762121e-126	0	Sdk1
5.86936981240929e-130	2.40242177865282	0.32	0.123	1.76081094372279e-126	0	Gm44626
3.92598466636343e-121	13.7366320278863	0.542	0.137	1.17779539990903e-117	0	Ddr2
5.64753828108401e-121	5.06723142198049	0.514	0.139	1.6942614843252e-117	0	Abca9
3.38566346167199e-118	5.22237586153264	0.358	0.112	1.0156990385016e-114	0	Gm14858
2.00642924789287e-113	4.41826664448488	0.365	0.171	6.01928774367862e-110	0	Adamtsl5
3.58860407128308e-113	2.27981541229685	0.29	0.127	1.07658122138492e-109	0	Lrrtm4
8.93450855028735e-113	4.74871687462512	0.36	0.227	2.68035256508621e-109	0	Peg3
2.82150001187984e-110	0.975980015489299	0.401	0.1	8.46450003563951e-107	0	Thbs1
4.28178003504601e-110	30.291174912442	0.513	0.101	1.2845340105138e-106	0	Adgrd1
6.02942425062462e-109	0.854964399143782	0.543	0.169	1.80882727518739e-105	0	Pid1
7.4075099150326e-109	2.97663833686286	0.479	0.153	2.22225297450978e-105	0	Lamb1
9.30513685038472e-109	5.16672388439567	0.277	0.124	2.79154105511542e-105	0	Fgf10
1.67686462391287e-106	1.01223761868691	0.393	0.143	5.03059387173862e-103	0	Nlgn1
1.70907637235415e-106	1.22453144753277	0.404	0.129	5.12722911706244e-103	0	Efna5
1.91267006362368e-106	1.74887884147689	0.312	0.136	5.73801019087103e-103	0	Negr1
2.20225984300115e-104	2.19540756331864	0.48	0.232	6.60677952900344e-101	0	Galnt17
7.12109642493341e-104	6.73718530671549	0.523	0.159	2.13632892748002e-100	0	Dapk1
1.71032268315551e-99	2.44031035937152	0.255	0.093	5.13096804946654e-96	0	Gpm6b
1.04258318620988e-97	5.0919722567478	0.336	0.12	3.12774955862963e-94	0	Nox4
9.00444209088763e-95	11.1432090569352	0.272	0.091	2.70133262726629e-91	0	Shank2
8.03002785691551e-94	8.172704495948	0.556	0.307	2.40900835707465e-90	0	Zeb1
2.93659118729393e-92	18.4561012355065	0.524	0.143	8.8097735618818e-89	0	Antxr2
3.57048822752401e-92	0.472069967553963	0.281	0.119	1.0711464682572e-88	0	Fbn2
9.46825843937903e-88	9.13261874489621	0.408	0.16	2.84047753181371e-84	0	Gm15675
2.39998313245421e-87	37.5640029044396	0.474	0.082	7.19994939736262e-84	0	Gfpt2
6.61913512581614e-85	1.53324091053732	0.294	0.117	1.98574053774484e-81	0	Boc
7.21534973268679e-85	9.92374285636148	0.339	0.112	2.16460491980604e-81	0	Abca6
3.41806172827243e-83	6.57509727270815	0.291	0.114	1.02541851848173e-79	0	Lrrc4c
7.21700359947116e-83	6.60759529165218	0.291	0.123	2.16510107984135e-79	0	Fam198b
1.35091787739556e-82	8.89323273524342	0.33	0.171	4.05275363218669e-79	0	Adra1a
4.77949766270713e-82	20.8425631889802	0.347	0.106	1.43384929881214e-78	0	Ifi207
2.92490705454883e-81	4.65685514743698	0.299	0.198	8.77472116364649e-78	0	Coq3
4.65650290027514e-81	4.78162346685617	0.539	0.146	1.39695087008254e-77	0	Slit3
1.19713775204535e-79	19.359270254262	0.322	0.135	3.59141325613606e-76	0	Csgalnact1
1.0650748162168e-75	5.52229700504869	0.519	0.217	3.19522444865041e-72	0	Mid1
1.17542767422189e-75	3.27207657738395	0.264	0.086	3.52628302266567e-72	0	Glt8d2
1.74282653061996e-74	3.20112296199728	0.364	0.185	5.22847959185988e-71	0	Col15a1
8.67591518302077e-72	1.82331341836569	0.52	0.189	2.60277455490623e-68	0	Sash1
1.01436518020939e-71	4.2677691246297	0.499	0.156	3.04309554062817e-68	0	Gsn
1.66095534776894e-70	9.97985696162334	0.539	0.203	4.98286604330682e-67	0	Col3a1
6.74829915559511e-70	2.05693104306027	0.272	0.154	2.02448974667853e-66	0	Unc13c
2.28862023604361e-69	6.78658954869241	0.299	0.155	6.86586070813082e-66	0	6330411D24Rik
4.61170796830896e-69	4.70300763629289	0.479	0.244	1.38351239049269e-65	0	Atrnl1
2.84592006863592e-65	2.37983617980496	0.311	0.109	8.53776020590775e-62	0	Mndal
1.56936988380406e-64	16.3327804421844	0.405	0.256	4.70810965141218e-61	0	Mitf
2.76820084574056e-61	5.30485226611696	0.265	0.082	8.30460253722168e-58	0	Gpr1
5.49106247350772e-61	0.653420929832983	0.419	0.164	1.64731874205232e-57	0	Gpc6
4.20587255046777e-60	2.05446310184119	0.382	0.121	1.26176176514033e-56	0	Kcnb2
4.43727024104697e-60	2.731275817434	0.414	0.127	1.33118107231409e-56	0	Brinp3
1.64692416169847e-56	12.1322503412249	0.499	0.096	4.9407724850954e-53	0	Pdgfra
5.32615004131441e-55	3.56040110420376	0.272	0.138	1.59784501239432e-51	0	Spon1
1.00512712262197e-54	4.61438400229104	0.511	0.173	3.01538136786591e-51	0	Ror1
1.69373119313787e-52	28.862182050268	0.363	0.087	5.08119357941362e-49	0	Pi16
3.21666817935949e-52	8.13326692802772	0.455	0.147	9.65000453807846e-49	0	Gm14005
2.47601618006138e-51	4.10794735619106	0.258	0.128	7.42804854018415e-48	0	Col4a6
2.01985190625338e-49	20.8610592220731	0.368	0.087	6.05955571876015e-46	0	Dact2
5.39945608008224e-47	0.753902717806255	0.358	0.134	1.61983682402467e-43	0	Glis3
2.35698175120271e-46	0.513054282573272	0.424	0.262	7.07094525360813e-43	0	Hist1h2af
3.97737643427089e-46	3.84274644652415	0.36	0.138	1.19321293028127e-42	0	Nhsl2
1.52232065022399e-44	7.04341383084687	0.385	0.081	4.56696195067198e-41	0	Crispld2
3.08472510929366e-44	7.23352384692632	0.373	0.146	9.25417532788098e-41	0	Pomk
4.52429263684479e-43	0.340643752732753	0.26	0.108	1.35728779105344e-39	0	Hecw1
5.29926591853634e-43	6.0655797405141	0.454	0.2	1.5897797755609e-39	0	Igf1
1.49584514158045e-42	4.16209518668438	0.269	0.088	4.48753542474136e-39	0	Ccn2
7.3525456977932e-42	1.83621903180353	0.355	0.3	2.20576370933796e-38	0	Dleu2
1.74823472756696e-41	13.2555088249258	0.377	0.148	5.24470418270088e-38	0	Smoc2
8.16694079239472e-41	3.30568696185972	0.449	0.161	2.45008223771842e-37	0	Hdac7
3.35576621450627e-39	8.277347621025	0.353	0.064	1.00672986435188e-35	0	Gm46323
6.79590335906632e-39	20.7886964938006	0.411	0.103	2.03877100771989e-35	0	Dpp4
3.21575256447606e-38	2.34127207967818	0.475	0.315	9.64725769342818e-35	0	Wwox
5.04195801986875e-38	0.375480506204426	0.327	0.2	1.51258740596063e-34	0	Hist1h2ap
2.32448615428839e-36	3.73277037918206	0.353	0.075	6.97345846286518e-33	0	Hhip
2.94438580260501e-35	6.59655253812198	0.487	0.205	8.83315740781504e-32	0	Dcn
3.53229870608917e-35	12.1406064895808	0.402	0.142	1.05968961182675e-31	0	Dpysl3
3.96529893360043e-35	8.4692008938338	0.249	0.335	1.18958968008013e-31	0	Pde7b
2.05280965410505e-32	0.407849573121604	0.267	0.254	6.15842896231514e-29	0	Ece1
7.55458286925443e-31	0.881173325429724	0.476	0.326	2.26637486077633e-27	0	Macf1
1.70095265666886e-30	6.34727305453482	0.373	0.113	5.10285797000658e-27	0	Srgap1
2.61834629950053e-28	1.78828768351059	0.299	0.139	7.8550388985016e-25	0	5033421B08Rik
3.66868958300754e-28	2.62626817276348	0.287	0.226	1.10060687490226e-24	0	Fhit
3.7856250394903e-28	3.56793356433577	0.284	0.092	1.13568751184709e-24	0	Gfra1
6.57172182383556e-28	3.77526497988435	0.493	0.229	1.97151654715067e-24	0	Arhgap24
8.82483017014292e-28	20.5888242164511	0.459	0.131	2.64744905104288e-24	0	Htra3
1.04021174750342e-26	6.65523883456405	0.261	0.138	3.12063524251026e-23	0	Gm26582
1.33172090417746e-25	4.80398241778407	0.531	0.469	3.99516271253238e-22	0	mt-Atp6
4.77183778149895e-25	3.94534279466742	0.26	0.15	1.43155133444969e-21	0	4930513D17Rik
6.77296410193327e-24	8.27229657078767	0.488	0.131	2.03188923057998e-20	0	Abca8a
1.43891597407033e-23	0.950702021834616	0.35	0.141	4.316747922211e-20	0	Cp
3.40463308794996e-20	5.71443463519878	0.381	0.175	1.02138992638499e-16	0	Eda
4.07108044893359e-19	0.982730882060139	0.397	0.117	1.22132413468008e-15	0	Vcan
1.01274542438521e-18	1.20691972835318	0.407	0.27	3.03823627315564e-15	0	Klf12
2.07684142902629e-18	2.75671816825118	0.294	0.069	6.23052428707888e-15	0	Hmgcll1
8.50207866907455e-18	0.658936677439264	0.408	0.163	2.55062360072237e-14	0	Fam155a
5.87961544165905e-17	2.7189908969894	0.366	0.126	1.76388463249772e-13	0	Pla1a
1.51789059854629e-16	6.73615644435638	0.327	0.115	4.55367179563887e-13	0	Gm765
5.33559268447924e-16	2.19519903673898	0.343	0.112	1.60067780534377e-12	0	Tmem159
5.40345976933845e-16	9.15620656113143	0.285	0.138	1.62103793080153e-12	0	Usp35
7.08017384595539e-16	19.8743181373989	0.397	0.14	2.12405215378662e-12	0	Cdon
7.48776997502006e-15	20.4455957234627	0.352	0.106	2.24633099250602e-11	0	Anxa3
1.84612155508094e-14	5.54983282367624	0.409	0.108	5.53836466524281e-11	0	Lvrn
2.26092468638058e-14	1.81320564905864	0.29	0.117	6.78277405914173e-11	0	Gria4
2.37339289589417e-14	1.4103881575363	0.297	0.218	7.1201786876825e-11	0	Dab1
2.64677245846641e-13	2.98445569866322	0.49	0.188	7.94031737539923e-10	0	Col5a2
3.89051922098102e-13	0.434642819116334	0.32	0.158	1.16715576629431e-09	0	Adamts3
4.14029738884548e-13	3.39944589364628	0.326	0.123	1.24208921665364e-09	0	Itgbl1
4.26768460795853e-13	12.3499107076032	0.396	0.126	1.28030538238756e-09	0	Tek
5.14231705191894e-13	9.23608954468974	0.277	0.16	1.54269511557568e-09	0	Ptprn2
5.55046298677966e-13	12.8749529738866	0.399	0.152	1.6651388960339e-09	0	Robo1
2.86139174747796e-12	7.16801036044914	0.301	0.1	8.58417524243387e-09	0	Prr16
4.66869937502592e-12	3.0561813698427	0.292	0.114	1.40060981250777e-08	0	Col8a1
6.21533089560059e-12	4.48063964184247	0.303	0.142	1.86459926868018e-08	0	Xkr4
2.01882849525893e-11	2.21795685365986	0.413	0.105	6.05648548577678e-08	0	Tll1
3.36833179244942e-11	17.2228871609483	0.097	0.26	1.01049953773483e-07	0	Pde4b
1.12036527995663e-10	1.66379721595465	0.292	0.08	3.36109583986989e-07	0	Rorb
1.95884414996449e-10	2.00925174481548	0.236	0.291	5.87653244989348e-07	0	2210408F21Rik
1.75291479852219e-09	8.75042972942536	0.414	0.128	5.25874439556657e-06	0	Itih5
6.13833324978742e-09	1.93347398303573	0.352	0.185	1.84149997493622e-05	0	Frmd4a
6.67156763337618e-09	3.58028400511007	0.465	0.213	2.00147029001286e-05	0	Maml2
8.17050995793335e-08	2.65516758752744	0.368	0.134	0.000245115298738	0	Dkk2
1.31151445004667e-07	7.18099703088911	0.364	0.115	0.000393454335014	0	Prlr
1.68150326860024e-07	0.345653267880628	0.333	0.236	0.000504450980580072	0	Gm21541
1.09952244313394e-06	6.95221178380329	0.339	0.115	0.00329856732940182	0	Adgrl3
1.16243780379514e-06	2.8115114272028	0.365	0.138	0.00348731341138541	0	Nrxn3
3.47132657670909e-06	2.94881569286103	0.335	0.068	0.0104139797301273	0	Gpnmb
7.25178857343301e-06	5.46896981349148	0.457	0.162	0.021755365720299	0	Gulp1
1.46012327028485e-05	24.4476066667416	0.308	0.082	0.0438036981085455	0	Efhd1
2.07059136982028e-05	23.0890131333356	0.357	0.103	0.0621177410946083	0	Efemp1
4.11671358716787e-05	5.36230464454686	0.403	0.093	0.123501407615036	0	Apod
5.36003023497888e-05	7.91751951462987	0.437	0.139	0.160800907049366	0	Dock11
8.11418486002885e-05	0.599772650935749	0.237	0.271	0.243425545800865	0	Spata5
0.000107718199436798	1.35366031987961	0.309	0.216	0.323154598310395	0	Cdadc1
0.000225523163976764	4.29394711234482	0.385	0.127	0.676569491930292	0	Svep1
0.000245420586060812	8.12000237904034	0.367	0.159	0.736261758182435	0	Vegfd
0.0016832048794722	6.11681244675345	0.319	0.107	1	0	Prdm6
0.00228821459152549	1.48058391249451	0.415	0.122	1	0	Tmeff2
0.00300334210831848	2.30559839424134	0.332	0.133	1	0	Opcml
0.00844193816882445	4.2751976915122	0.334	0.08	1	0	Ugt1a6a
0	18.5718637812551	0.559	0.139	0	1	Gm49417
0	13.0983640405686	0.592	0.136	0	1	Gm43063
0	12.210714973006	0.49	0.159	0	1	Ush1c
0	10.4752789750558	0.445	0.125	0	1	Nr1h3
0	10.144238165438	0.601	0.21	0	1	Gm12224
0	9.66927143504913	0.622	0.165	0	1	Fhl3
0	8.84266487457966	0.608	0.172	0	1	Smox
0	8.12995953948556	0.78	0.332	0	1	Nctc1
0	7.35057976221472	0.558	0.119	0	1	Tfcp2l1
0	7.16525807436464	0.455	0.15	0	1	Hephl1
0	5.05718459334562	0.587	0.131	0	1	2310002L09Rik
0	4.87552942087438	0.902	0.307	0	1	Myoz1
0	4.5480490442263	0.603	0.097	0	1	Odf3l2
0	4.10471789090969	0.666	0.274	0	1	Art1
0	3.98801440621378	0.761	0.256	0	1	Mylk2
0	3.95936168471156	0.623	0.146	0	1	Prodh
0	3.5375370384954	0.666	0.195	0	1	Hr
0	3.43263940983088	0.844	0.168	0	1	Arrdc2
0	3.41821747759022	0.389	0.144	0	1	Nek11
0	3.00124480605191	0.522	0.162	0	1	D830024N08Rik
0	2.9935028547294	0.946	0.295	0	1	Tacc2
0	2.83332900594318	0.902	0.236	0	1	Trim63
0	2.813441420359	0.586	0.173	0	1	Dusp13
0	2.78497191171651	0.64	0.164	0	1	Gm47320
0	2.5401786467644	0.476	0.173	0	1	Ipo13
0	2.43833397224882	0.723	0.248	0	1	A330023F24Rik
0	2.36007818847865	0.774	0.256	0	1	2210408F21Rik
0	2.12568171730176	0.457	0.204	0	1	Bace1
0	2.10707709568439	0.505	0.199	0	1	Smyd2
0	1.88420714842737	0.342	0.101	0	1	Myadml2
0	1.81757068298301	0.573	0.138	0	1	Tspan8
0	1.46184501412392	0.302	0.102	0	1	Timm13
0	1.25908147699363	0.58	0.245	0	1	Art3
0	0.952809624635981	0.866	0.372	0	1	Rsrp1
0	0.928628472596753	0.7	0.199	0	1	Bicd2
0	0.833978844710753	0.5	0.251	0	1	Sgk1
0	0.821846150885952	0.435	0.114	0	1	C730002L08Rik
0	0.785337389438723	0.306	0.074	0	1	Pkhd1l1
0	0.574728592861903	0.594	0.252	0	1	Nr1d2
0	0.565202744280414	0.646	0.162	0	1	Ankrd9
0	0.429826612562211	0.621	0.28	0	1	Cpeb3
1.46412129625822e-295	2.98618121340623	0.486	0.195	4.39236388877466e-292	1	Ldhd
7.58800547540291e-289	6.18815388919539	0.52	0.127	2.27640164262087e-285	1	Tmem132b
1.62440180850112e-279	8.54886161956861	0.536	0.208	4.87320542550337e-276	1	Mss51
4.62287255257252e-258	3.91361214768517	0.512	0.186	1.38686176577176e-254	1	Slc2a4
5.74242916062353e-251	5.32246289608055	0.329	0.152	1.72272874818706e-247	1	Relt
2.44729797024623e-245	6.35206354794012	0.539	0.171	7.34189391073869e-242	1	Pebp4
5.77397654324662e-234	0.686621886621193	0.419	0.135	1.73219296297399e-230	1	Lrrc30
3.79188242363663e-225	2.75346778864562	0.4	0.154	1.13756472709099e-221	1	Dcdc2a
2.07817909023879e-202	6.44988558156622	0.258	0.143	6.23453727071636e-199	1	Ddost
1.99694213899849e-194	1.67193300649467	0.341	0.15	5.99082641699546e-191	1	Gm14914
8.05965994180622e-179	2.78373705208816	0.595	0.369	2.41789798254187e-175	1	Cmya5
4.2754991221555e-173	2.62106426062221	0.504	0.13	1.28264973664665e-169	1	Gadd45g
5.91502384620876e-173	7.031192514081	0.334	0.141	1.77450715386263e-169	1	Pi4k2a
6.76427714227166e-147	9.72039874193116	0.273	0.146	2.0292831426815e-143	1	AC100263.2
1.01366570295776e-140	1.97746756676028	0.3	0.125	3.04099710887328e-137	1	Mob3c
1.10093917072659e-140	1.18110953404668	0.538	0.332	3.30281751217976e-137	1	Osbpl9
9.35350304538128e-139	3.925272706584	0.396	0.222	2.80605091361438e-135	1	Cisd2
4.19570358968602e-134	1.95302891108552	0.252	0.067	1.25871107690581e-130	1	Gm7967
7.39048386039877e-129	3.7924805661551	0.327	0.164	2.21714515811963e-125	1	Fcf1
3.20567729007816e-123	0.60454907166465	0.514	0.235	9.61703187023447e-120	1	Ctnna3
4.22749904152223e-122	3.47963548899331	0.481	0.207	1.26824971245667e-118	1	Pcgf5
1.09505920581474e-115	14.6310065399581	0.31	0.175	3.28517761744422e-112	1	Acsl6
4.17808560239973e-104	9.50193045091696	0.299	0.201	1.25342568071992e-100	1	Cdk5rap1
6.42448665835891e-102	31.2367207327631	0.521	0.219	1.92734599750767e-98	1	Ttll7
2.01363700056146e-100	2.44020746541675	0.291	0.102	6.04091100168438e-97	1	Gm14532
6.00626099783862e-90	9.89383276976698	0.368	0.136	1.80187829935159e-86	1	1700001J03Rik
1.23435517194266e-85	1.07748780176437	0.364	0.148	3.70306551582799e-82	1	Zfp956
1.63882777457318e-81	4.41925053452624	0.386	0.148	4.91648332371955e-78	1	Gpr146
4.50111860471503e-81	3.14124900514996	0.335	0.105	1.35033558141451e-77	1	Nr4a3
9.28428550055578e-75	0.650820935757437	0.352	0.13	2.78528565016673e-71	1	Gm11884
1.55325872684792e-70	1.57409072089651	0.446	0.073	4.65977618054377e-67	1	AC131675.1
7.12073101805128e-65	1.48061304939217	0.276	0.122	2.13621930541538e-61	1	Exosc5
8.20791986700036e-61	2.26870817534663	0.31	0.16	2.46237596010011e-57	1	Rilp
1.33599034906678e-54	3.34510145417093	0.427	0.143	4.00797104720033e-51	1	Avil
1.94551648080567e-54	1.97271697438017	0.387	0.202	5.83654944241702e-51	1	Pcmtd2
3.51791385793147e-54	2.0642435388693	0.259	0.12	1.05537415737944e-50	1	Mrpl47
2.77583396955364e-51	0.907469698711753	0.39	0.278	8.32750190866093e-48	1	Vegfa
9.65968976153257e-51	1.38474974475995	0.28	0.14	2.89790692845977e-47	1	Gm43625
1.17171716229108e-50	17.5316841760973	0.47	0.185	3.51515148687325e-47	1	Gm47644
1.39508124727776e-47	2.9421305972615	0.445	0.207	4.18524374183328e-44	1	Cystm1
1.51387628693244e-47	1.53159633430994	0.388	0.14	4.54162886079731e-44	1	Adhfe1
1.35053545544462e-43	4.35497112126782	0.322	0.152	4.05160636633385e-40	1	Gm29506
3.32957243760356e-41	1.66947881427959	0.474	0.153	9.98871731281069e-38	1	Spns2
7.35400923857294e-39	2.13069772900425	0.286	0.2	2.20620277157188e-35	1	Adck1
