p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.91666105857941	0.785	0.212	0	2	Gm49678
0	4.84779397487492	0.105	0.255	0	2	Vgll3
0	4.52426855445166	0.871	0.279	0	2	Frmpd4
0	4.30674462531246	0.895	0.222	0	2	Mgat4c
0	3.73937420640372	0.21	0.332	0	2	Slc44a5
0	3.68117046483016	0.756	0.296	0	2	Zfp385b
0	3.41105869478315	0.885	0.325	0	2	Dcc
0	3.34534846708209	0.632	0.364	0	2	Erc2
0	3.31435976743378	0.709	0.357	0	2	Ryr2
0	3.11980496511237	0.694	0.244	0	2	Chrm3
0	2.67077275426159	0.767	0.224	0	2	Dpf3
0	2.182936422717	0.886	0.307	0	2	Prkca
0	1.95473544473482	0.826	0.206	0	2	Trps1
0	1.74444993722581	0.79	0.345	0	2	Gm26871
0	1.54495032614097	0.672	0.229	0	2	Gm32647
0	1.53823280952349	0.76	0.294	0	2	Nrxn3
0	1.26128189556564	0.689	0.202	0	2	Efr3b
0	1.06299582619762	0.891	0.37	0	2	Malat1
0	0.892150245499352	0.791	0.278	0	2	Iqschfp
0	0.668861076888642	0.876	0.38	0	2	Cacna1c
0	0.410846407526037	0.704	0.253	0	2	Cntnap2
0	0.396652704453636	0.759	0.341	0	2	Nkain3
0	0.273137832501071	0.022	0.334	0	2	Slc35f1
1.0929288770537e-277	12.3806961492694	0.569	0.346	3.27878663116111e-274	2	Mctp1
3.21524938828863e-265	10.7549043740382	0.57	0.335	9.64574816486589e-262	2	Brinp1
2.21235636641253e-253	0.664591203555294	0.608	0.38	6.6370690992376e-250	2	Xkr4
1.3634564632468e-243	6.86440904459517	0.598	0.329	4.0903693897404e-240	2	Epha5
3.23883636080698e-205	4.78210938629825	0.575	0.391	9.71650908242095e-202	2	March1
9.69317018968406e-203	9.87257346196809	0.514	0.318	2.90795105690522e-199	2	Edil3
3.19661332946697e-195	12.1571249132007	0.625	0.425	9.58983998840091e-192	2	Fgf14
1.76900674754556e-192	4.32900060872336	0.549	0.186	5.30702024263667e-189	2	Adamtsl1
1.76386050997568e-183	14.2511403430988	0.523	0.261	5.29158152992704e-180	2	Fstl4
5.28404950606996e-150	5.41827837050423	0.529	0.337	1.58521485182099e-146	2	Cnksr2
1.48961760289235e-137	10.9066741306295	0.552	0.297	4.46885280867704e-134	2	Schip1
3.67827246938207e-133	10.881526915161	0.532	0.316	1.10348174081462e-129	2	Kcnt2
1.00519000201188e-127	5.61374745127577	0.516	0.337	3.01557000603563e-124	2	Rian
2.19687686821542e-112	1.19136057407509	0.251	0.056	6.59063060464626e-109	2	Galnt5
1.69733678948698e-110	1.18874512916336	0.485	0.129	5.09201036846094e-107	2	Adamts9
9.23647081921824e-91	5.35779564023671	0.495	0.29	2.77094124576547e-87	2	Pde1a
9.20936413665865e-88	20.6425375860632	0.496	0.348	2.7628092409976e-84	2	Stxbp5l
3.13132422565047e-78	8.94721805533292	0.461	0.387	9.39397267695142e-75	2	Dlgap2
5.50216811074406e-66	11.8902975316302	0.502	0.415	1.65065043322322e-62	2	Auts2
1.32208000621295e-65	9.164010986487	0.48	0.331	3.96624001863885e-62	2	Dgkg
1.76980323740265e-46	8.40314201584691	0.477	0.382	5.30940971220796e-43	2	Kcnq3
4.43764584104121e-40	7.49907234761527	0.293	0.083	1.33129375231236e-36	2	AC171111.1
3.2351268308701e-37	3.20222349500867	0.4	0.305	9.70538049261031e-34	2	Cdh12
5.8469277509359e-32	11.480998812781	0.269	0.388	1.75407832528077e-28	2	Gm20754
1.03297325834763e-29	3.09384121367689	0.406	0.404	3.09891977504288e-26	2	Ppp3ca
2.81324759625224e-23	5.52544523743311	0.376	0.424	8.43974278875672e-20	2	Slit3
5.19773503332733e-21	1.02193903995568	0.309	0.281	1.5593205099982e-17	2	Hs6st3
1.24914662356894e-17	4.77610386603369	0.458	0.444	3.74743987070681e-14	2	Fam155a
1.532899137895e-15	8.7959926487573	0.334	0.176	4.59869741368499e-12	2	Cpne9
7.5467735822284e-13	4.53488942050359	0.345	0.265	2.26403207466852e-09	2	Dner
2.32604710209295e-08	1.87410318997544	0.369	0.213	6.97814130627886e-05	2	4930467D21Rik
0	9.02703180872721	0.872	0.387	0	3	Cadm2
0	5.20746752010194	0.984	0.414	0	3	Dab1
0	3.25435154951951	0.685	0.229	0	3	Myo5b
0	3.01802064601948	0.795	0.298	0	3	Syn3
0	2.38030095879274	0.747	0.295	0	3	Sorcs2
0	1.80737329188917	0.771	0.26	0	3	Plppr1
0	1.15099158468357	0.626	0.216	0	3	Ablim3
0	1.15023366887703	0.749	0.24	0	3	Prox1
0	0.687415356412032	0.657	0.202	0	3	Tspan18
5.93751133885634e-299	4.01842751196176	0.283	0.139	1.7812534016569e-295	3	Nek10
4.00023275785667e-148	1.64676657535936	0.453	0.251	1.200069827357e-144	3	Pcdha6
1.37445848867114e-57	11.8693749102227	0.379	0.108	4.12337546601343e-54	3	Glra2
2.01608622097061e-20	0.440986794906721	0.256	0.289	6.04825866291184e-17	3	Pcdhga3
5.70625439453084e-11	1.47939160010675	0.224	0.312	1.71187631835925e-07	3	Pcdhga4
0.000104787277133378	0.422955422388519	0.151	0.288	0.314361831400133	3	Pcdhga2
0	14.830219240225	0.803	0.256	0	4	Hcn1
0	7.91456672093051	0.728	0.443	0	4	Nlgn1
0	7.0514791484234	0.746	0.186	0	4	Gm10754
0	6.15478407971904	0.746	0.182	0	4	Ldb2
0	5.96532428392795	0.664	0.348	0	4	R3hdm1
0	5.43851553694202	0.638	0.235	0	4	Sorcs3
0	3.87283247596269	0.74	0.375	0	4	Cadm1
0	3.60677852901899	0.754	0.199	0	4	Cpne7
0	3.08283842678981	0.798	0.335	0	4	5730522E02Rik
0	2.76333985638681	0.592	0.134	0	4	Ptpru
0	2.67385705213089	0.682	0.276	0	4	Zfp462
0	2.39594378981872	0.763	0.326	0	4	Prkcb
0	0.822173914112632	0.067	0.256	0	4	Vgll3
0	0.726773445093518	0.679	0.17	0	4	Mpped1
1.94699575049428e-295	0.829840713934649	0.669	0.422	5.84098725148284e-292	4	Gria1
2.44570094514748e-292	20.7542882548225	0.587	0.254	7.33710283544244e-289	4	Runx2
3.10170478220596e-239	0.411017534939646	0.106	0.29	9.30511434661789e-236	4	Pcdhga2
1.08171992262863e-154	23.2133716155438	0.517	0.158	3.2451597678859e-151	4	Gm2115
2.6566011772667e-150	0.326751732866965	0.26	0.273	7.96980353180011e-147	4	Htr4
1.30273381951555e-122	4.14143054077913	0.523	0.272	3.90820145854666e-119	4	Homer1
3.31100001660992e-116	7.25257837484796	0.49	0.173	9.93300004982977e-113	4	Hs6st2
2.52490381596135e-84	10.5532801633265	0.229	0.33	7.57471144788405e-81	4	Slc2a13
3.35950466467039e-41	2.26277372276249	0.269	0.168	1.00785139940112e-37	4	Lrrk2
2.31582743233055e-22	0.694941678591397	0.48	0.389	6.94748229699165e-19	4	Xkr4
