technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
Parse	Gastrocnemius	Female	PNM_18-20	ENCSR974ODT	ENCLB390UOV	ENCFF873LWR
Parse	Gastrocnemius	Male	PNM_18-20	ENCSR187HKH	ENCLB445HCF	ENCFF684YRA
Parse	Gastrocnemius	Male	PNM_18-20	ENCSR187HKH	ENCLB697UFJ	ENCFF547JPH
Parse	Gastrocnemius	Female	PND_04	ENCSR696NAL	ENCLB822ZBL	ENCFF243SXF
Parse	Gastrocnemius	Female	PND_04	ENCSR696NAL	ENCLB424IGC	ENCFF487DQG
Parse	Gastrocnemius	Male	PND_04	ENCSR328JOY	ENCLB626MJP	ENCFF574GWY
Parse	Gastrocnemius	Male	PND_04	ENCSR328JOY	ENCLB590WTC	ENCFF350ZIT
Parse	Gastrocnemius	Female	PND_10	ENCSR253YLA	ENCLB746SMP	ENCFF843JXE
Parse	Gastrocnemius	Female	PND_10	ENCSR253YLA	ENCLB655KFD	ENCFF921PJL
Parse	Gastrocnemius	Male	PND_10	ENCSR653HPZ	ENCLB858UWU	ENCFF010TXC
Parse	Gastrocnemius	Male	PND_10	ENCSR653HPZ	ENCLB884SGO	ENCFF841BQT
Parse	Gastrocnemius	Female	PND_14	ENCSR462NDO	ENCLB633YKU	ENCFF766QNR
Parse	Gastrocnemius	Female	PND_14	ENCSR462NDO	ENCLB360SHA	ENCFF897KEK
Parse	Gastrocnemius	Male	PND_14	ENCSR498SXJ	ENCLB093FVQ	ENCFF881RTY
Parse	Gastrocnemius	Male	PND_14	ENCSR498SXJ	ENCLB866TKE	ENCFF323ZJS
Parse	Gastrocnemius	Female	PND_25	ENCSR399TQO	ENCLB062GPW	ENCFF724IZZ
Parse	Gastrocnemius	Female	PND_25	ENCSR399TQO	ENCLB840KBQ	ENCFF144AJU
Parse	Gastrocnemius	Male	PND_25	ENCSR577OFZ	ENCLB686MYR	ENCFF692RNP
Parse	Gastrocnemius	Male	PND_25	ENCSR577OFZ	ENCLB669IFQ	ENCFF816VIX
Parse	Gastrocnemius	Female	PND_36	ENCSR966QJD	ENCLB628NDM	ENCFF316FCM
