technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
Parse	Adrenal	Female	PND_04	ENCSR732MDJ	ENCLB517ACD	ENCFF205FKX
Parse	Adrenal	Female	PND_04	ENCSR732MDJ	ENCLB093BII	ENCFF125WTG
Parse	Adrenal	Male	PND_04	ENCSR422JWZ	ENCLB924MNV	ENCFF468SAG
Parse	Adrenal	Male	PND_04	ENCSR422JWZ	ENCLB454IQF	ENCFF880KVA
Parse	Adrenal	Female	PND_10	ENCSR763LIT	ENCLB741YUG	ENCFF013VXD
Parse	Adrenal	Female	PND_10	ENCSR763LIT	ENCLB339NZV	ENCFF725LUZ
Parse	Adrenal	Male	PND_10	ENCSR552XCF	ENCLB096XEI	ENCFF412YDZ
Parse	Adrenal	Male	PND_10	ENCSR552XCF	ENCLB842EQT	ENCFF534QKS
Parse	Adrenal	Female	PND_14	ENCSR093CLX	ENCLB469KQZ	ENCFF399CTO
Parse	Adrenal	Female	PND_14	ENCSR093CLX	ENCLB765SCG	ENCFF291YYJ
Parse	Adrenal	Male	PND_14	ENCSR403MNL	ENCLB109THY	ENCFF382JCD
Parse	Adrenal	Male	PND_14	ENCSR403MNL	ENCLB689QBZ	ENCFF914LGV
Parse	Adrenal	Female	PND_25	ENCSR165VMQ	ENCLB679MGP	ENCFF118QLE
Parse	Adrenal	Female	PND_25	ENCSR165VMQ	ENCLB903CLN	ENCFF697JED
Parse	Adrenal	Male	PND_25	ENCSR263VNQ	ENCLB668FHK	ENCFF222YFL
Parse	Adrenal	Male	PND_25	ENCSR263VNQ	ENCLB944QTS	ENCFF074BEM
Parse	Adrenal	Female	PND_36	ENCSR402GQZ	ENCLB585ZUX	ENCFF636OLA
Parse	Adrenal	Female	PND_36	ENCSR402GQZ	ENCLB691GNG	ENCFF598QHN
Parse	Adrenal	Male	PND_36	ENCSR794RPU	ENCLB856JIZ	ENCFF100LQA
Parse	Adrenal	Male	PND_36	ENCSR794RPU	ENCLB680GUP	ENCFF068JJH
Parse	Adrenal	Female	PNM_02	ENCSR454ZHR	ENCLB381HJR	ENCFF530GRI
Parse	Adrenal	Female	PNM_02	ENCSR454ZHR	ENCLB851NLO	ENCFF852KDF
Parse	Adrenal	Male	PNM_02	ENCSR216UTT	ENCLB419YTE	ENCFF540VMZ
Parse	Adrenal	Male	PNM_02	ENCSR216UTT	ENCLB126DIM	ENCFF285VGH
Parse	Adrenal	Female	PNM_18-20	ENCSR201SNQ	ENCLB048VRI	ENCFF596TKH
Parse	Adrenal	Female	PNM_18-20	ENCSR201SNQ	ENCLB866KKG	ENCFF213CZE
Parse	Adrenal	Male	PNM_18-20	ENCSR773CKJ	ENCLB107BBQ	ENCFF854PDW
Parse	Adrenal	Male	PNM_18-20	ENCSR773CKJ	ENCLB765UWE	ENCFF654LFW
